2015-03-08 11:53:40,324 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191vgXP5bmxJSqDB1A63FjJVrVGUD0= started
2015-03-08 11:53:44,163 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 11:53:48,331 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 11:53:48,381 INFO  [Plumbr thread - 13] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 14212
2015-03-08 11:53:50,324 INFO  [Plumbr thread - 4] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:55:10,332 INFO  [Plumbr thread - 15] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:56:38,977 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:56:39,603 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:56:39,604 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:56:40,804 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 11:56:41,127 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 11:56:41,130 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, class_stats, contention, gc, gcmbean, heap]
2015-03-08 11:56:41,155 INFO  [Plumbr thread - 5] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 11:56:41,156 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191iwsvoedxg0IOkUXa54AciN_049E= started
2015-03-08 11:56:43,632 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 11:56:52,168 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 11:56:52,217 INFO  [Plumbr thread - 13] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 8524
2015-03-08 11:57:01,157 INFO  [Plumbr thread - 13] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:58:11,166 INFO  [Plumbr thread - 13] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 12:00:01,178 INFO  [Plumbr thread - 8] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 12:12:25,695 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:12:26,317 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:12:26,317 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:12:27,504 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:12:27,555 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:12:27,558 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 12:12:27,583 INFO  [Plumbr thread - 5] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:12:27,584 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 0041918IrPHNcyWuzU4RGeb51ku4jC4xc= started
2015-03-08 12:12:31,575 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 12:12:32,590 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:12:32,606 INFO  [Plumbr thread - 11] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 599
2015-03-08 12:12:37,584 INFO  [Plumbr thread - 11] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 12:14:07,593 INFO  [Plumbr thread - 12] eu.plumbr.agent.bWz - Running heap leak analysis.
